timestamp_s,frame_index,action,detected,confidence,target_cx,target_cy,dx,dy,norm_area,fps
61.478,305,SEARCH,0,0.0,-1,-1,0,0,0.0,5.09
61.664,306,SEARCH,0,0.0,-1,-1,0,0,0.0,5.37
61.858,307,SEARCH,0,0.0,-1,-1,0,0,0.0,5.16
62.139,308,SEARCH,0,0.0,-1,-1,0,0,0.0,3.56
62.408,309,SEARCH,0,0.0,-1,-1,0,0,0.0,3.72
62.591,310,SEARCH,0,0.0,-1,-1,0,0,0.0,5.45
62.781,311,SEARCH,0,0.0,-1,-1,0,0,0.0,5.28
62.966,312,SEARCH,0,0.0,-1,-1,0,0,0.0,5.4
63.143,313,SEARCH,0,0.0,-1,-1,0,0,0.0,5.66
63.32,314,SEARCH,0,0.0,-1,-1,0,0,0.0,5.65
63.503,315,SEARCH,0,0.0,-1,-1,0,0,0.0,5.44
63.678,316,SEARCH,0,0.0,-1,-1,0,0,0.0,5.74
63.868,317,SEARCH,0,0.0,-1,-1,0,0,0.0,5.25
64.049,318,SEARCH,0,0.0,-1,-1,0,0,0.0,5.54
64.231,319,SEARCH,0,0.0,-1,-1,0,0,0.0,5.51
64.423,320,SEARCH,0,0.0,-1,-1,0,0,0.0,5.19
64.612,321,SEARCH,0,0.0,-1,-1,0,0,0.0,5.3
64.793,322,SEARCH,0,0.0,-1,-1,0,0,0.0,5.52
64.978,323,SEARCH,0,0.0,-1,-1,0,0,0.0,5.39
65.182,324,SEARCH,0,0.0,-1,-1,0,0,0.0,4.91
65.367,325,SEARCH,0,0.0,-1,-1,0,0,0.0,5.4
65.575,326,SEARCH,0,0.0,-1,-1,0,0,0.0,4.8
65.766,327,SEARCH,0,0.0,-1,-1,0,0,0.0,5.26
65.952,328,SEARCH,0,0.0,-1,-1,0,0,0.0,5.37
66.149,329,SEARCH,0,0.0,-1,-1,0,0,0.0,5.08
66.334,330,SEARCH,0,0.0,-1,-1,0,0,0.0,5.41
66.52,331,SEARCH,0,0.0,-1,-1,0,0,0.0,5.37
66.7,332,SEARCH,0,0.0,-1,-1,0,0,0.0,5.55
66.885,333,SEARCH,0,0.0,-1,-1,0,0,0.0,5.39
67.078,334,SEARCH,0,0.0,-1,-1,0,0,0.0,5.19
67.276,335,SEARCH,0,0.0,-1,-1,0,0,0.0,5.06
67.464,336,SEARCH,0,0.0,-1,-1,0,0,0.0,5.31
67.644,337,SEARCH,0,0.0,-1,-1,0,0,0.0,5.57
67.82,338,SEARCH,0,0.0,-1,-1,0,0,0.0,5.67
68.0,339,SEARCH,0,0.0,-1,-1,0,0,0.0,5.55
68.174,340,SEARCH,0,0.0,-1,-1,0,0,0.0,5.76
68.368,341,SEARCH,0,0.0,-1,-1,0,0,0.0,5.14
68.612,342,SEARCH,0,0.0,-1,-1,0,0,0.0,4.11
68.821,343,SEARCH,0,0.0,-1,-1,0,0,0.0,4.77
69.005,344,SEARCH,0,0.0,-1,-1,0,0,0.0,5.45
69.193,345,SEARCH,0,0.0,-1,-1,0,0,0.0,5.32
69.379,346,SEARCH,0,0.0,-1,-1,0,0,0.0,5.37
69.564,347,SEARCH,0,0.0,-1,-1,0,0,0.0,5.41
69.762,348,SEARCH,0,0.0,-1,-1,0,0,0.0,5.06
69.969,349,SEARCH,0,0.0,-1,-1,0,0,0.0,4.83
70.151,350,SEARCH,0,0.0,-1,-1,0,0,0.0,5.48
70.343,351,SEARCH,0,0.0,-1,-1,0,0,0.0,5.22
70.533,352,SEARCH,0,0.0,-1,-1,0,0,0.0,5.26
70.719,353,SEARCH,0,0.0,-1,-1,0,0,0.0,5.37
70.915,354,SEARCH,0,0.0,-1,-1,0,0,0.0,5.1
71.1,355,SEARCH,0,0.0,-1,-1,0,0,0.0,5.42
71.281,356,SEARCH,0,0.0,-1,-1,0,0,0.0,5.5
71.467,357,SEARCH,0,0.0,-1,-1,0,0,0.0,5.39
71.655,358,SEARCH,0,0.0,-1,-1,0,0,0.0,5.33
71.831,359,SEARCH,0,0.0,-1,-1,0,0,0.0,5.67
72.015,360,SEARCH,0,0.0,-1,-1,0,0,0.0,5.43
72.196,361,SEARCH,0,0.0,-1,-1,0,0,0.0,5.54
72.39,362,SEARCH,0,0.0,-1,-1,0,0,0.0,5.16
72.573,363,SEARCH,0,0.0,-1,-1,0,0,0.0,5.45
72.753,364,SEARCH,0,0.0,-1,-1,0,0,0.0,5.55
72.925,365,SEARCH,0,0.0,-1,-1,0,0,0.0,5.83
73.116,366,SEARCH,0,0.0,-1,-1,0,0,0.0,5.23
73.307,367,SEARCH,0,0.0,-1,-1,0,0,0.0,5.23
73.505,368,SEARCH,0,0.0,-1,-1,0,0,0.0,5.07
73.698,369,SEARCH,0,0.0,-1,-1,0,0,0.0,5.16
73.887,370,SEARCH,0,0.0,-1,-1,0,0,0.0,5.29
74.088,371,SEARCH,0,0.0,-1,-1,0,0,0.0,4.99
74.288,372,SEARCH,0,0.0,-1,-1,0,0,0.0,5.0
74.545,373,SEARCH,0,0.0,-1,-1,0,0,0.0,3.88
74.735,374,SEARCH,0,0.0,-1,-1,0,0,0.0,5.29
74.921,375,SEARCH,0,0.0,-1,-1,0,0,0.0,5.36
75.104,376,SEARCH,0,0.0,-1,-1,0,0,0.0,5.47
75.288,377,SEARCH,0,0.0,-1,-1,0,0,0.0,5.44
75.483,378,SEARCH,0,0.0,-1,-1,0,0,0.0,5.12
